bmkegId	uri	resource_id
218	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684579&PLACEBO=IE.pdf&mode=pdf	32712
219	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684582&PLACEBO=IE.pdf&mode=pdf	32714
220	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684578&PLACEBO=IE.pdf&mode=pdf	32717
221	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684575&PLACEBO=IE.pdf&mode=pdf	32720
222	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684574&PLACEBO=IE.pdf&mode=pdf	32721
223	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684571&PLACEBO=IE.pdf&mode=pdf	32726
224	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684573&PLACEBO=IE.pdf&mode=pdf	32728
225	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712471&PLACEBO=IE.pdf&mode=pdf	32729
226	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712469&PLACEBO=IE.pdf&mode=pdf	32730
227	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712468&PLACEBO=IE.pdf&mode=pdf	32733
228	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712470&PLACEBO=IE.pdf&mode=pdf	32735
229	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712467&PLACEBO=IE.pdf&mode=pdf	32738
230	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712473&PLACEBO=IE.pdf&mode=pdf	32740
231	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109712472&PLACEBO=IE.pdf&mode=pdf	32742
232	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684557&PLACEBO=IE.pdf&mode=pdf	32743
233	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684556&PLACEBO=IE.pdf&mode=pdf	32745
234	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684558&PLACEBO=IE.pdf&mode=pdf	32747
235	http://download.interscience.wiley.com/cgi-bin/fulltext?ID=109684555&PLACEBO=IE.pdf&mode=pdf	32749
